STATE/UT,CODE,LATITUDE,LONGITUDE,PER CAPITA INCOME (INR),POPULATION,AVERAGE TEMPERATURE (°C),1/30/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020
Meghalaya,ml,25.467,91.3662,"98,151","2,968,889",17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,9,9,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,15,20,20,21,27,27,27,28,30,33,33,33,33,36,39,43,44,44,44,44,44,44,44,43,43,43,43,43,45,46,46,46,48,48,50,51,53,55,58,62,70,72,88,94,100,113,186,262,295,316,318,337,377,403,418,450,469,490,514,534,587,646,702,738,779,784,803,823,856,874,902,917,939,990,1006,1023,1062,1115,1142,1179,1193,1228,1292,1374,1418,1457,1535,1661,1718,1811,1917,1976,2018,2050,2130,2240,2283,2343,2368,2440,2517,2626,2734,2916,3005,3034,3076,3197,3296,3447,3615,3724,3863,4037,4195,4357,4447,4559,4660,4733,4791,4961,5083,5158,5212,5302,5362,5463,5639,5802,6033,6456,6656,6767,7037,7165,7261,7388,7544,7683,7771,7838,7991,8164,8303,8404,8508,8536,8593,8621,8720,8801,8884,9020,9020,9090,9180,9257,9334,9404,9559,9630,9693,9753,9845,9931,9999,10154,10182,10248,10320,10464,10534,10585,10620,10661,10746,10822,10931,11104,11221,11291,11349,11406,11465,11533,11585,11656,11692,11762,11827,11906,11957,12019,12116,12189,12266,12362,12463,12538,12597,12695,12818
Mizoram,mz,23.1645,92.9376,"201,741","1,205,974",20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,17,24,24,34,42,88,93,102,104,110,112,117,121,121,130,130,140,141,142,142,145,145,147,150,151,151,160,160,162,162,164,186,197,198,203,203,226,227,231,233,238,238,272,282,284,284,297,297,317,326,332,361,361,361,384,395,408,408,413,470,496,502,505,538,559,567,608,620,623,648,649,657,713,777,789,815,860,874,895,903,918,918,953,967,974,1003,1003,1008,1011,1012,1020,1040,1046,1062,1093,1114,1123,1192,1333,1353,1379,1414,1428,1468,1480,1506,1534,1548,1578,1585,1691,1713,1759,1786,1835,1865,1908,1958,1986,2018,2049,2103,2120,2120,2128,2148,2150,2157,2162,2175,2184,2202,2212,2220,2229,2245,2253,2253,2280,2310,2341,2359,2389,2447,2493,2527,2607,2656,2694,2722,2756,2757,2792,2893,2958,2990,3032,3090,3096,3156,3217,3242,3309,3368,3393,3396,3444,3481,3513,3541,3607,3647,3660,3710,3745,3765,3788,3806,3823,3825,3847,3869,3881,3888,3913,3934,3936,3968,3977,3984,4007,4024,4035
Nagaland,nl,26.1584,94.5624,"78,367","1,978,502",17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,18,25,36,43,43,49,58,80,107,107,116,122,127,128,130,156,163,173,177,179,193,193,198,201,211,280,330,347,355,371,387,415,451,459,501,535,539,563,590,625,644,657,673,732,748,774,845,896,902,916,956,978,988,1021,1030,1084,1174,1239,1289,1339,1385,1460,1513,1566,1693,1831,1935,2129,2405,2498,2580,2657,2688,2781,3011,3031,3118,3168,3322,3340,3394,3455,3520,3558,3583,3619,3635,3686,3714,3752,3778,3784,3805,3851,3922,3950,4003,4017,4066,4107,4128,4178,4220,4245,4375,4636,4946,5064,5083,5214,5229,5263,5306,5357,5392,5451,5544,5604,5671,5730,5768,5862,5946,5957,6040,6163,6244,6318,6429,6552,6594,6662,6715,6736,6888,6949,7019,7240,7363,7416,7492,7604,7698,7816,7953,8020,8139,8296,8436,8515,8626,8663,8726,8787,8857,8908,9010,9038,9059,9114,9170,9227,9290,9418,9437,9466,9499,9541,9578,9601,9713,9848,9988,10151,10329,10423,10571,10637,10740,10815,10894,10954,11023,11054,11078,11122,11149,11172,11217,11246,11268,11303,11342,11381,11442,11471,11565,11597,11639,11672
Odisha,or,20.9517,85.0985,"101,587","45,429,399",27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,20,21,39,40,42,42,48,50,54,54,55,60,60,60,60,61,61,74,79,83,89,94,100,103,118,118,125,143,154,160,162,169,177,205,219,270,352,377,415,437,538,672,737,737,828,876,978,1052,1103,1189,1269,1336,1438,1517,1593,1660,1723,1819,1948,2104,2245,2388,2478,2608,2781,2856,2994,3140,3250,3386,3498,3723,3909,4055,4163,4338,4512,4677,4856,5160,5303,5470,5752,5962,6180,6350,6614,6859,7065,7316,7545,8106,8601,9070,9526,10097,10624,11201,11956,12526,13121,13737,14280,14898,15392,16110,16701,17437,18110,18757,19835,21099,22693,24013,25389,26892,28107,29175,30378,31877,33479,34913,36297,37681,39018,40717,42550,44193,45927,47455,48796,50672,52653,54630,57126,60050,62294,64533,67122,70020,72718,75537,78530,81479,84231,87602,90986,94668,97920,100934,103536,106561,109780,113411,116678,120221,124031,127892,131382,135130,139121,143117,146894,150807,155005,158650,162920,167161,171341,175550,179880,184122,188311,192548,196888,201096,205452,209374,212609,215676,219119,222734,226334,229387,232713,235330,238003,240998,244142,246839,249693,252239,254662,256937,259541,262011,264149,266345,268364,270346,272250,274181,276094,277887,279582,281215,282695,283942,285482,287099,288646,290116,291825,293214,294415,295889,297274,298768,300140,301574,302793,303780,305000,305986,307004,307906,308659,309408,310052,310920,311788,312545,313323,313961,314629,315271,316001,316645,317239,317789,318307,318725,319103,319583,320017,320394,320803,321196,321564,321913,322299,322642,323029,323364,323757
Puducherry,py,11.9416,79.8083,"237,279","1,375,592",28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,12,12,12,13,16,16,17,17,17,22,23,23,26,26,41,49,49,49,53,57,57,70,79,79,90,99,104,107,119,128,132,144,157,163,176,194,202,216,245,271,287,338,366,383,402,461,502,534,619,648,690,714,739,802,824,904,946,1011,1043,1153,1202,1274,1339,1420,1470,1533,1598,1745,1834,1892,2001,2094,2181,2302,2422,2517,2656,2789,2874,3013,3179,3300,3474,3608,3808,3984,4149,4435,4623,4864,5125,5384,5626,5902,6383,6682,6997,7356,7734,8031,8398,8754,9294,9596,10114,10524,10861,11428,11932,12436,13026,13558,14129,14413,14768,15159,15583,16174,16568,17034,17318,17751,18086,18538,19028,19447,19835,20228,20603,21113,21430,21915,22458,22925,23193,23686,24229,24897,25491,26034,26402,26687,27068,27546,28026,28536,28754,29091,29279,29684,30163,30541,30906,31243,31551,31739,32006,32247,32488,32768,32980,33143,33249,33454,33624,33834,33988,34114,34195,34338,34484,34585,34763,34910,35015,35111,35180,35327,35431,35552,35677,35746,35840,35902,36002,36116,36181,36254,36301,36326,36339,36411,36467,36535,36587,36650,36695,36720,36771,36822,36842,36858,36904,36937,36970,37022,37081,37121,37167,37211,37246,37272,37313,37341,37365,37408,37446,37494
Punjab,pb,31.1471,75.3412,"154,996","29,611,935",23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,13,21,23,29,31,33,38,38,38,41,42,46,47,53,65,68,79,99,106,130,151,158,170,176,184,186,197,211,234,244,245,251,278,283,298,308,322,330,342,375,480,585,772,1102,1232,1451,1526,1644,1731,1762,1823,1877,1914,1924,1935,1932,1946,1964,1980,2002,2005,2028,2029,2045,2060,2081,2106,2139,2158,2197,2233,2263,2301,2342,2376,2415,2461,2515,2608,2663,2719,2805,2887,2986,3063,3140,3267,3371,3497,3615,3832,3952,4074,4235,4397,4627,4769,4957,5056,5216,5418,5568,5668,5784,5937,6109,6283,6491,6749,6907,7140,7357,7587,7821,8178,8511,8799,9094,9442,9792,10100,10510,10889,11301,11739,12216,12684,13218,13769,14378,14946,15456,16119,17063,17853,18527,19015,19856,20891,21930,22928,23903,24889,25889,26909,27936,29013,30041,31206,32695,34400,36083,37824,39327,40643,41779,43284,44577,46090,47836,49378,50848,52526,53992,55508,56989,58515,60013,61527,63473,65583,67547,69684,72143,74616,77057,79679,82100,84482,87184,90032,92806,95529,97689,99930,101341,103464,105220,107096,108684,110106,111375,112460,113886,115151,116213,117319,118157,119186,120016,120868,121716,122459,123317,123973,124535,125211,125760,126230,126737,127154,127630,128103,128590,129088,129693,130157,130640,131055,131391,131737,132263,132727,133158,133658,133975,134371,134786,135313,135834,136481,136958,137445,137999,138485,139184,139869,140605,140605,141658,142082,142597,143395,144177,144995,145667,146346,147057,147665,148435,149278,150086,150805,151538,152091,152709,153308,154064,154788,155424,156226,156839,157331,157928,158556,159099,159579,160200
Rajasthan,rj,27.0238,74.2179,"118,159","78,230,816",25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,7,9,17,24,28,32,32,38,40,50,54,59,79,93,120,133,179,206,266,301,343,383,463,561,700,804,897,1005,1076,1131,1229,1351,1478,1576,1735,1888,1964,2034,2083,2185,2262,2364,2440,2584,2666,2772,2886,3061,3158,3317,3427,3579,3708,3814,3988,4126,4328,4534,4747,4960,5202,5507,5845,6015,6227,6494,6742,7028,7300,7536,7816,8067,8365,8617,8831,9100,9373,9652,9862,10084,10337,10599,10876,11245,11600,11838,12068,12401,12694,12981,13216,13542,13857,14156,14537,14930,15232,15627,16009,16296,16660,16944,17271,17660,18008,18312,18662,19052,19532,20164,20688,21404,22063,22563,23174,23748,24392,24936,25571,26437,27174,27789,28500,29434,30390,31373,32334,33220,34178,35298,36430,37564,38636,39780,40936,42083,43243,44410,45555,46679,47845,48996,50157,51328,52497,53670,54887,56100,57414,58692,59979,61296,62630,63977,65289,66619,67954,69264,70609,71955,73325,74670,76015,77370,78777,80227,81693,83163,84674,86227,87797,89363,90956,92536,94126,95736,97376,99036,100705,102408,104138,105898,107680,109473,111290,113124,114989,116881,118793,120739,122720,124730,126775,128859,130971,133119,135292,137485,139696,141846,144030,146195,148316,150467,152605,154785,156908,159052,161184,163219,165240,167279,169289,171281,173266,175226,177123,178933,180755,182570,184422,186243,188048,189844,191629,193419,195213,196993,198747,200495,202220,203990,205800,207597,209438,211310,213169,215071,217151,219327,221471,223633,225817,227986,230180,232358,234907,237669,240676,243936,247168,250482,253767,256947,260040,262805,265386,268063,270410,272400,274486,276420,278496,280585,282512,284116,285627,287219,288692,289999,291289
Sikkim,sk,27.533,88.5122,"357,643","610,577",18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,7,7,7,13,13,13,63,63,68,68,68,70,70,70,70,78,78,79,83,85,87,87,88,88,88,89,101,102,103,125,125,127,133,134,134,160,164,166,211,222,235,267,286,296,318,343,451,473,490,512,558,568,592,609,623,652,663,671,701,796,813,842,867,873,879,923,926,943,944,1093,1161,1180,1200,1220,1245,1303,1349,1394,1416,1459,1488,1499,1555,1589,1615,1640,1665,1683,1717,1751,1856,1914,1923,1952,1971,2002,2022,2039,2068,2099,2132,2186,2234,2287,2316,2355,2404,2460,2526,2561,2625,2717,2765,2803,2828,2869,2944,2982,3024,3063,3106,3123,3148,3247,3259,3292,3334,3373,3380,3430,3472,3513,3544,3580,3610,3614,3656,3690,3740,3783,3832,3848,3853,3876,3888,3906,3926,3953,3971,3980,4017,4079,4108,4157,4208,4258,4270,4321,4357,4382,4429,4470,4512,4535,4562,4591,4623,4646,4705,4736,4750,4791,4833,4885,4922,4981,5000,5004,5046,5086,5114,5161,5182,5208,5214,5227,5251,5277,5304,5330,5352
Tamil Nadu,tn,18.1124,79.0193,"228,216","38,472,769",26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,3,6,9,12,18,26,29,38,42,50,67,124,234,309,411,485,571,621,690,738,834,911,969,1075,1173,1204,1242,1267,1323,1372,1477,1520,1596,1629,1683,1755,1821,1885,1937,2058,2162,2323,2526,2757,3023,3550,4058,4829,5409,6009,6535,7204,8002,8718,9227,9674,10108,10585,11224,11760,12448,13191,13967,14753,15512,16277,17082,17728,18545,19372,20246,21184,22333,23495,24586,25872,27256,28694,30152,31667,33229,34914,36841,38716,40698,42687,44661,46504,48019,50193,52334,54449,56845,59377,62087,64603,67468,70977,74622,78335,82275,86224,90167,94049,98392,102721,107001,111151,114978,118594,122350,126581,130261,134226,138470,142798,147324,151820,156369,160907,165714,170693,175678,180643,186492,192964,199749,206737,213723,220716,227688,234114,239978,245859,251738,257613,263222,268285,273460,279144,285024,290907,296901,302815,308649,314520,320355,326245,332105,338055,343945,349654,355449,361435,367430,373410,379385,385352,391303,397261,403242,409238,415590,422085,428041,433969,439959,445851,451827,457697,463480,469256,474940,480524,486052,491571,497066,502759,508511,514208,519860,525420,530908,536477,541993,547337,552674,557999,563691,569370,575017,580808,586397,591943,597602,603290,608885,614507,619996,625391,630408,635855,640943,646128,651370,656385,661264,665930,670392,674802,679191,683486,687400,690936,694030,697116,700193,703250,706136,709005,711713,714235,716751,719403,722011,724522,727026,729507,731942,734429,736777,739147,741488,743822,746079,748225,750409,752521,754460,756372,758191,759916,761568,763282,764989,766677,768340,769995,771619,773176,774710,776174,777616,779046,780505,781915,783319,784747,786163,787554,788920,790240,791552,792788,794020,795240,796475,797693,798888
Telangana,tg,11.1271,78.6569,"214,237","76,481,545",28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,13,16,19,21,27,33,37,41,44,59,67,70,77,97,127,154,229,272,334,364,404,453,471,487,503,531,592,644,650,700,766,809,858,872,928,943,970,983,990,1001,1003,1009,1016,1038,1044,1061,1082,1085,1096,1107,1122,1132,1163,1196,1275,1326,1367,1414,1454,1509,1551,1592,1634,1661,1699,1761,1813,1854,1920,2032,2139,2256,2425,2499,2698,2792,2891,3020,3147,3290,3496,3650,3742,3920,4111,4320,4484,4737,4974,5193,5406,5675,6027,6526,7072,7802,8674,9553,10444,11364,12349,13436,14419,15394,16339,17357,18570,20462,22312,23902,25733,27612,29536,30946,32224,33402,34671,36221,37745,39342,41018,42496,43780,45076,46274,47704,49259,50826,52466,54059,54059,55532,57142,58906,60717,62703,64786,66677,67660,68946,70958,73050,75257,77513,79495,80751,82647,84544,86475,88396,90259,91361,92255,93937,95700,97424,98881,101355,103739,105581,108160,111178,113973,116905,119656,122580,124453,127187,130079,132896,135374,137885,140459,142261,144653,147132,149666,152092,154370,156586,158003,160061,162334,164493,166536,168659,170796,172098,174264,176560,178736,181117,183356,185323,186701,188773,190876,193090,195099,196817,198766,200101,202084,204238,206134,208025,209836,211553,212574,214282,215728,217160,218714,220165,221601,222549,224035,225614,227070,228491,229764,230742,231324,232161,233642,235146,236677,238122,239538,240460,241996,243633,245172,246774,248381,249821,250678,251945,253141,254156,255153,256203,256864,257366,258318,259266,260324,261218,262143,263016,263618,264539,265532,266394,267155,267908,268713,269306,269808,270373,270982,271613,272209,272831,273348,274030,274751,275394,276006,276641,277214
Tripura,tr,23.9408,91.9882,"113,102","3,673,917",25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,17,30,43,65,89,119,136,152,152,154,155,156,156,167,165,165,173,173,175,175,191,194,198,232,242,244,254,271,316,423,471,622,646,694,749,802,840,866,897,922,963,1046,1079,1089,1090,1133,1154,1181,1189,1224,1240,1263,1263,1295,1330,1339,1351,1385,1393,1401,1440,1533,1558,1581,1692,1716,1773,1789,1931,1962,2067,2093,2183,2281,2379,2497,2668,2891,3093,3345,3471,3677,3777,3882,3919,4066,4287,4503,4722,4996,5248,5389,5389,5520,5642,5740,5868,6014,6161,6223,6387,6497,6618,6782,6949,7076,7219,7424,7660,7850,8106,8386,8717,8917,9210,9539,9924,10433,10876,11323,11644,12153,12719,13309,13833,14524,15127,15526,16154,16736,17271,17830,18300,18929,19184,19715,20169,20696,20969,21504,22029,22272,22831,23335,23786,24127,24405,24725,24918,25350,25731,26063,26359,26549,26871,27030,27305,27542,27756,27979,28150,28349,28458,28675,28856,29028,29190,29324,29465,29550,29685,29797,29922,30067,30132,30218,30254,30290,30450,30563,30660,30714,30791,30849,30986,31102,31234,31344,31431,31514,31540,31619,31703,31762,31838,31916,31942,31959,32036,32109,32214,32289,32364,32412,32431,32490,32525,32575,32607,32638,32638,32692,32723,32761,32800,32833,32857,32888,32894,32922,32942,32973,32994,33012,33035
Uttar Pradesh,up,26.8467,80.9462,"70,419","237,095,024",25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,10,10,10,12,12,12,13,13,15,17,20,24,28,30,32,35,38,42,49,65,72,96,104,117,128,174,234,278,305,332,361,410,433,452,483,558,660,735,805,849,975,1100,1184,1337,1449,1510,1621,1793,1873,1986,2053,2134,2211,2328,2487,2645,2766,2880,2998,3071,3214,3373,3467,3573,3664,3758,3902,4057,4258,4464,4605,4926,5175,5515,5735,6017,6268,6497,6724,6991,7170,7445,7701,8075,8361,8729,8870,9237,9733,10103,10536,10947,11335,11610,12088,12616,13118,13615,14091,14598,15181,15785,16594,17135,17731,18322,18893,19557,20193,20943,21549,22147,22828,23492,24056,24825,25797,26554,27707,28636,29968,31156,32362,33700,35092,36476,38130,39724,41383,43441,45163,47036,49247,51160,53288,55588,58104,60771,63742,66988,70493,73951,77334,81039,85461,89048,92921,97362,100310,104388,108974,113378,118038,122609,126722,131763,136238,140775,145287,150061,154418,158216,162434,167510,172334,177239,182456,187781,192382,197388,203028,208419,213824,219457,225632,230414,235757,241439,247101,253175,259765,266283,271851,278473,285041,292029,299045,305831,312036,317195,324036,330265,336294,342788,348517,354275,358893,364543,369686,374277,378533,382835,387085,390875,394856,399082,403101,406995,410626,414466,417437,420937,424326,427459,430666,433712,436979,439161,442118,444711,447383,449935,452660,455146,456865,459154,461475,463858,466060,468238,470270,472068,474054,476034,477895,480082,481863,483832,485609,487335,489502,491354,493527,495421,497563,499190,501311,503159,505424,507602,509903,511304,512850,514270,516616,519148,521988,524223,526780,528833,531050,533355,535449,537747,539899,541873,543888,545545,547308,549228,551179,553012,554944,556397,558173,559499,561161,562722,564132,565556
Uttarakhand,ut,30.0668,79.0193,"198,738","10,086,292",23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,4,4,5,5,5,6,7,7,7,7,10,16,22,26,31,31,35,35,35,35,35,35,37,37,37,40,42,44,46,46,46,47,48,48,51,51,54,55,57,57,59,60,60,61,61,61,63,67,68,68,69,72,78,82,91,92,96,111,126,145,153,244,317,349,400,469,500,716,749,907,959,1043,1085,1153,1215,1303,1355,1411,1537,1562,1655,1724,1785,1819,1845,1942,2023,2103,2177,2301,2344,2402,2535,2623,2691,2725,2791,2823,2831,2881,2947,2984,3048,3093,3124,3161,3230,3258,3305,3373,3417,3537,3608,3686,3785,3982,4102,4276,4515,4642,4849,5300,5445,5717,5961,6104,6328,6587,6866,7065,7183,7447,7593,7800,8008,8254,8623,8901,9402,9632,10021,10432,10886,11302,11615,11940,12175,12493,12961,13225,13636,14083,14566,15124,15529,16014,16549,17277,17865,18571,19235,19827,20398,21234,22180,23011,23961,24629,25436,26094,27211,28226,29221,30336,31973,33016,34407,35947,37139,38007,40085,40963,41777,42651,43720,44404,45332,46281,47045,47502,47995,49000,49248,49559,50062,51481,51991,52329,52959,53359,54063,54525,55051,55347,55641,56070,56493,57042,57648,58024,58360,58601,59106,59508,59796,60155,60376,60744,60957,61261,61566,61915,62328,62550,62881,63197,63585,64065,64538,65036,65279,65677,66005,66788,67239,67706,68002,68215,68458,68887,69307,69693,70205,70790,71256,71632,72160,72642,72997,73527,73951,74340,74795,75268,75784,76275,76893,77573,77997,78509,79141,79656,80486,81211,81939,82429
