STATE/UT,CODE,LATITUDE,LONGITUDE,PER CAPITA INCOME (INR),POPULATION,AVERAGE TEMPERATURE (°C),1/30/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020
Goa,ga,15.2993,74.124,"458,304","1,542,750",28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,16,16
Gujarat,gj,22.2587,71.1924,"197,738","63,907,200",27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,10,10,13,21,22,25,25,26,33,44,44,54,59,64,73,86,93,105,131,139,179,258,265,282,313,394,434,527,613,736,896,1042,1195,1381,1500,1709,1872,2091,2545,2780,3246,3562,3753,4035,4308,4499,4804,5043,5219,5488,5880,6169,6412
Haryana,hr,29.0588,76.0856,"264,207","27,388,008",24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,17,17,27,27,27,28,28,28,30,31,31,35,35,43,50,54,56,64,85,99,103,140,146,157,169,185,190,198,212,223,224,234,240,241,244,253,255,259,259,278,289,299,336,341,417,438,463,513,561,597,626,647,680,705,749,764
Himachal Pradesh,hp,31.1048,77.1734,"195,255","7,316,708",13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,9,13,13,14,14,17,17,17,17,17,17,17,19,19,23,23,26,26,26,29,31,34,35,35,35,35,35,35,36,36,36,36,36,36,36,40,41,43,48,51,56,56,58,60
Jammu and Kashmir,jk,33.7782,76.5762,"91,882","13,635,010",13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,4,4,4,6,6,6,6,6,16,30,36,38,42,51,56,71,81,92,92,109,112,137,164,176,192,216,247,254,287,303,320,322,335,364,368,383,427,455,466,485,513,542,575,609,647,678,684,720,774,809
Jharkhand,jh,23.6102,85.2799,"76,019","37,329,128",23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,8,8,13,17,19,19,19,21,22,27,27,33,37,41,41,78,78,78,79,87,87,97,113,113,127,127,129,136,136,141,148
Karnataka,ka,15.3173,75.7139,210887,"66,165,886",24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,5,5,5,6,8,9,11,11,11,12,20,25,28,30,34,39,54,60,71,80,82,88,104,111,112,129,131,145,152,158,182,193,207,216,229,251,271,293,321,331,354,366,376,386,422,426,433,451,460,480,496,509,530,543,556,571,597,608,654
Kerala,kl,10.8505,76.2711,"204,105","35,330,888",28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,4,4,11,11,12,16,20,24,26,28,42,50,56,59,71,84,97,124,143,179,198,211,218,245,255,257,270,291,307,308,316,331,338,342,355,359,369,383,392,400,401,462,462,469,474,484,485,489,489,489,490,493,493,497,497,497,497,502,510,512,515,520
Ladakh,la,34.1526,77.577,"91,882","279,924",5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,10,10,10,10,11,11,11,12,12,12,14,14,14,14,14,14,14,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,18,18,21,22,22,22,22,24,24,24,43,43,43,43,43,43,43
Lakshadweep,ld,10.5667,72.6417,unavailable,"64,473",27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
